PartNumber,PartDescription,Brand,Size,BoltPattern,Offset,MSRP_USD,MAP_USD,Finish,TIS_Comparable_MAP,Price_Difference,Match_Type
D76020901850,CLASH 8 20X9 8X180 124 BL +01,Fuel 1PC,20X9,8X180,1,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76020901857,CLASH 8 20X9 8X180 124 BL +20,Fuel 1PC,20X9,8X180,20,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76020908250,CLASH 8 20X9 8X6.5 125 BL +01,Fuel 1PC,20X9,8X6.5,1,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76020908257,CLASH 8 20X9 8X6.5 125 BL +20,Fuel 1PC,20X9,8X6.5,20,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76020908450,CLASH 20X9 6X5.5 106.1 BL 01MM,Fuel 1PC,20X9,6X5.5,1,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76020908950,CLASH 20X9 6X135 87.1 BL 01MM,Fuel 1PC,20X9,6X135,1,435.00,435.00 ,Matte Black,478.00,-43.00,exact
D76022008447,CLASH 22X10 6X5.5 106.1 BL -18MM,Fuel 1PC,22X10,6X5.5,-18,510.00,510.00 ,Matte Black,559.82,-49.82,exact
D76022008947,CLASH 22X10 6X135 87.1 BL -18MM,Fuel 1PC,22X10,6X135,-18,510.00,510.00 ,Matte Black,559.82,-49.82,exact
D76022201747,CLASH 22X12 8X170 125.1 BL -44MM,Fuel 1PC,22X12,8X170,-44,560.00,560.00 ,Matte Black,558.00,2.00,exact
D76022201847,CLASH 22X12 8X180 124.3 BL -44MM,Fuel 1PC,22X12,8X180,-44,560.00,560.00 ,Matte Black,558.00,2.00,exact
D76022208247,CLASH 22X12 8X6.5 125.2 BL -44MM,Fuel 1PC,22X12,8X6.5,-44,560.00,560.00 ,Matte Black,558.00,2.00,exact
D76022208447,CLASH 22X12 6X5.5 106.1 BL -44MM,Fuel 1PC,22X12,6X5.5,-44,560.00,560.00 ,Matte Black,558.00,2.00,exact
D76022208947,CLASH 22X12 6X135 87.1 BL -44MM,Fuel 1PC,22X12,6X135,-44,560.00,560.00 ,Matte Black,558.00,2.00,exact
D76024208447,CLASH 24X12 6X5.5 106.1 BL -44MM,Fuel 1PC,24X12,6X5.5,-44,685.00,685.00 ,Matte Black,722.10,-37.10,size-avg
D76117908450,CLASH 17X9 6X5.5 106.1 NBL 01MM,Fuel 1PC,17X9,6X5.5,1,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D76117909450,CLASH 17X9 6X120 67.06 NBL 01MM,Fuel 1PC,17X9,6X120,1,345.00,345.00 ,Matte Black w/ Dark Tint,398.00,-53.00,exact
D76118908445,CLASH 18X9 6X5.5 106.1 NBL -12MM,Fuel 1PC,18X9,6X5.5,-12,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D76118908450,CLASH 18X9 6X5.5 106.1 NBL 01MM,Fuel 1PC,18X9,6X5.5,1,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D76118909450,CLASH 18X9 6X120 67.06 NBL 01MM,Fuel 1PC,18X9,6X120,1,395.00,395.00 ,Matte Black w/ Dark Tint,446.54,-51.54,size-avg
D76120001747,CLASH 8 20X10 8X170 125 NBL -18,Fuel 1PC,20X10,8X170,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D76120001847,CLASH 8 20X10 8X180 124 NBL -18,Fuel 1PC,20X10,8X180,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D76120008247,CLASH 8 20X10 8X6.5 125 NBL -18,Fuel 1PC,20X10,8X6.5,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D76120008447,CLASH 20X10 6X5.5 106.1 NBL -18MM,Fuel 1PC,20X10,6X5.5,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D76120008947,CLASH 20X10 6X135 87.1 NBL -18MM,Fuel 1PC,20X10,6X135,-18,525.00,525.00 ,Matte Black w/ Dark Tint,464.67,60.33,exact
D76120901750,CLASH 8 20X9 8X170 125 NBL +01,Fuel 1PC,20X9,8X170,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120901757,CLASH 8 20X9 8X170 125 NBL +20,Fuel 1PC,20X9,8X170,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120901850,CLASH 8 20X9 8X180 124 NBL +01,Fuel 1PC,20X9,8X180,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120901857,CLASH 8 20X9 8X180 124 NBL +20,Fuel 1PC,20X9,8X180,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120908250,CLASH 8 20X9 8X6.5 125 NBL +01,Fuel 1PC,20X9,8X6.5,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120908257,CLASH 8 20X9 8X6.5 125 NBL +20,Fuel 1PC,20X9,8X6.5,20,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120908450,CLASH 20X9 6X5.5 106.1 NBL 01MM,Fuel 1PC,20X9,6X5.5,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76120908950,CLASH 20X9 6X135 87.1 NBL 01MM,Fuel 1PC,20X9,6X135,1,500.00,500.00 ,Matte Black w/ Dark Tint,478.00,22.00,exact
D76122008447,CLASH 22X10 6X5.5 106.1 NBL -18MM,Fuel 1PC,22X10,6X5.5,-18,550.00,550.00 ,Matte Black w/ Dark Tint,559.82,-9.82,exact
D76122201747,CLASH 22X12 8X170 125.1 NBL -44MM,Fuel 1PC,22X12,8X170,-44,600.00,600.00 ,Matte Black w/ Dark Tint,558.00,42.00,exact
D76122201847,CLASH 22X12 8X180 124.3 NBL -44MM,Fuel 1PC,22X12,8X180,-44,600.00,600.00 ,Matte Black w/ Dark Tint,558.00,42.00,exact
D76122208447,CLASH 22X12 6X5.5 106.1 NBL -44MM,Fuel 1PC,22X12,6X5.5,-44,600.00,600.00 ,Matte Black w/ Dark Tint,558.00,42.00,exact
